Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
10ML_centrifuge_tube,0.3678852617740631,"[302.0, 151.0, 369.0, 199.0]","[9.0, -53.0, 488.0]","[-18.0, -73.0, 491.0]","[299.0, -603.0, 4056.0]","[-17.0, -31.0, 452.0]","[212.0, -200.0, 2875.0]"
5ML_sorting_tube_rack,0.3550320565700531,"[598.0, 203.0, 640.0, 394.0]","[800.0, 154.0, 1646.0]","[1771.0, -247.0, 3926.0]","[1542.0, -187.0, 2973.0]",,
10ML_centrifuge_tube,0.34355783462524414,"[436.0, 237.0, 472.0, 258.0]","[389.0, 18.0, 1817.0]","[330.0, -12.0, 1791.0]","[432.0, -12.0, 1775.0]","[324.0, 49.0, 1760.0]","[429.0, 49.0, 1760.0]"
5ML_sorting_tube_rack,0.31777018308639526,"[468.0, 272.0, 632.0, 391.0]","[596.0, 237.0, 1603.0]","[411.0, 88.0, 1735.0]","[880.0, 88.0, 1735.0]","[441.0, 460.0, 1861.0]",
dispensing_tube_rack,0.2774116098880768,"[127.0, 70.0, 367.0, 478.0]","[-39.0, 16.0, 304.0]","[-156.0, -135.0, 480.0]","[356.0, -1428.0, 5061.0]","[-91.0, 109.0, 279.0]","[49.0, 271.0, 694.0]"
5ML_centrifuge_tube,0.2640511691570282,"[450.0, 219.0, 473.0, 240.0]","[425.0, -38.0, 1884.0]","[413.0, -73.0, 1995.0]","[448.0, -67.0, 1828.0]","[374.0, -3.0, 1807.0]","[431.0, -3.0, 1760.0]"
10ML_centrifuge_tube,0.41711798310279846,"[300.0, 151.0, 369.0, 200.0]","[8.0, -53.0, 486.0]","[-20.0, -73.0, 490.0]","[334.0, -674.0, 4536.0]","[-18.0, -31.0, 451.0]","[208.0, -191.0, 2822.0]"
10ML_centrifuge_tube,0.37928879261016846,"[436.0, 237.0, 472.0, 258.0]","[390.0, 18.0, 1823.0]","[327.0, -12.0, 1775.0]","[431.0, -12.0, 1770.0]","[324.0, 49.0, 1760.0]","[427.0, 49.0, 1755.0]"
5ML_sorting_tube_rack,0.33867526054382324,"[598.0, 203.0, 640.0, 394.0]","[802.0, 155.0, 1651.0]","[1738.0, -242.0, 3852.0]","[1550.0, -188.0, 2987.0]",,
dispensing_tube_rack,0.31324535608291626,"[137.0, 74.0, 367.0, 478.0]","[-35.0, 17.0, 297.0]","[-151.0, -135.0, 490.0]","[329.0, -1288.0, 4675.0]","[-85.0, 107.0, 275.0]","[49.0, 271.0, 695.0]"
5ML_centrifuge_tube,0.277758926153183,"[300.0, 151.0, 369.0, 201.0]","[8.0, -52.0, 484.0]","[-20.0, -73.0, 490.0]","[334.0, -674.0, 4536.0]","[-18.0, -30.0, 451.0]","[206.0, -185.0, 2796.0]"
5ML_centrifuge_tube,0.26685142517089844,"[17.0, 409.0, 53.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-257.0, 167.0, 508.0]",
10ML_centrifuge_tube,0.25911739468574524,"[16.0, 409.0, 53.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 167.0, 508.0]",
10ML_centrifuge_tube,0.3718079626560211,"[16.0, 409.0, 53.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-259.0, 168.0, 509.0]",
10ML_centrifuge_tube,0.34969931840896606,"[303.0, 151.0, 369.0, 200.0]","[9.0, -53.0, 488.0]","[-17.0, -73.0, 491.0]","[314.0, -632.0, 4253.0]","[-16.0, -31.0, 451.0]","[206.0, -190.0, 2796.0]"
5ML_sorting_tube_rack,0.3253726363182068,"[0.0, 402.0, 220.0, 479.0]","[-97.0, 90.0, 275.0]",,"[-49.0, 75.0, 283.0]","[-264.0, 194.0, 494.0]","[-48.0, 110.0, 280.0]"
5ML_sorting_tube_rack,0.3143889009952545,"[598.0, 203.0, 640.0, 394.0]","[795.0, 153.0, 1637.0]","[1760.0, -245.0, 3901.0]","[1492.0, -181.0, 2875.0]",,
10ML_centrifuge_tube,0.29918354749679565,"[49.0, 445.0, 86.0, 480.0]","[-0.0, 0.0, 0.0]",,"[-108.0, 92.0, 274.0]",,"[-114.0, 114.0, 290.0]"
5ML_centrifuge_tube,0.28243309259414673,"[17.0, 409.0, 52.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 168.0, 509.0]",
5ML_sorting_tube_rack,0.34550273418426514,"[598.0, 204.0, 640.0, 394.0]","[798.0, 157.0, 1642.0]","[1783.0, -242.0, 3951.0]","[1605.0, -189.0, 3093.0]",,
10ML_centrifuge_tube,0.3372875154018402,"[16.0, 409.0, 52.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-260.0, 168.0, 511.0]",
dispensing_tube_rack,0.32677456736564636,"[137.0, 48.0, 366.0, 478.0]","[-37.0, 11.0, 310.0]","[-145.0, -150.0, 471.0]","[340.0, -1572.0, 4939.0]","[-85.0, 107.0, 275.0]","[48.0, 271.0, 694.0]"
10ML_centrifuge_tube,0.3140123188495636,"[301.0, 151.0, 369.0, 200.0]","[9.0, -53.0, 487.0]","[-19.0, -73.0, 490.0]","[330.0, -664.0, 4470.0]","[-17.0, -31.0, 451.0]","[204.0, -188.0, 2771.0]"
5ML_centrifuge_tube,0.281615674495697,"[17.0, 409.0, 51.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-259.0, 168.0, 511.0]",
dispensing_tube_rack,0.363519549369812,"[138.0, 50.0, 366.0, 479.0]","[-37.0, 12.0, 308.0]","[-146.0, -149.0, 474.0]","[383.0, -1754.0, 5567.0]","[-84.0, 108.0, 275.0]","[48.0, 272.0, 695.0]"
5ML_sorting_tube_rack,0.2964516282081604,"[597.0, 201.0, 640.0, 392.0]","[795.0, 148.0, 1642.0]","[1788.0, -263.0, 3977.0]","[1382.0, -176.0, 2663.0]",,
10ML_centrifuge_tube,0.2809809446334839,"[17.0, 409.0, 53.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-256.0, 166.0, 505.0]",
5ML_sorting_tube_rack,0.39938777685165405,"[598.0, 204.0, 640.0, 394.0]","[798.0, 157.0, 1642.0]","[1760.0, -239.0, 3901.0]","[1630.0, -192.0, 3141.0]",,
10ML_centrifuge_tube,0.32244929671287537,"[268.0, 238.0, 366.0, 265.0]","[-5.0, 7.0, 408.0]","[-39.0, -2.0, 424.0]","[160.0, -12.0, 2320.0]","[-29.0, 12.0, 309.0]","[122.0, 70.0, 1775.0]"
dispensing_tube_rack,0.3054219186306,"[132.0, 39.0, 366.0, 479.0]","[-39.0, 9.0, 313.0]","[-144.0, -152.0, 455.0]","[329.0, -1594.0, 4784.0]","[-88.0, 109.0, 277.0]","[48.0, 273.0, 697.0]"
10ML_centrifuge_tube,0.2729346454143524,"[16.0, 409.0, 54.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 167.0, 508.0]",
10ML_centrifuge_tube,0.3098151981830597,"[16.0, 410.0, 51.0, 442.0]","[-0.0, 0.0, 0.0]",,,"[-257.0, 168.0, 506.0]",
5ML_sorting_tube_rack,0.28829625248908997,"[597.0, 201.0, 640.0, 393.0]","[791.0, 150.0, 1633.0]","[1776.0, -261.0, 3951.0]","[1307.0, -167.0, 2520.0]",,
dispensing_tube_rack,0.2719975411891937,"[128.0, 34.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-145.0, -153.0, 447.0]","[359.0, -1742.0, 5103.0]","[-90.0, 109.0, 278.0]","[49.0, 272.0, 695.0]"
5ML_centrifuge_tube,0.2629344165325165,"[16.0, 409.0, 51.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 167.0, 507.0]",
dispensing_tube_rack,0.3351297974586487,"[136.0, 30.0, 367.0, 479.0]","[-50.0, 9.0, 415.0]","[-140.0, -157.0, 451.0]","[356.0, -1761.0, 5061.0]","[-85.0, 108.0, 275.0]","[49.0, 273.0, 696.0]"
10ML_centrifuge_tube,0.2579911947250366,"[16.0, 410.0, 52.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 167.0, 507.0]",
dispensing_tube_rack,0.3179910480976105,"[135.0, 29.0, 366.0, 479.0]","[-0.0, 0.0, 0.0]","[-140.0, -157.0, 449.0]","[401.0, -2039.0000000000002, 5832.0]","[-86.0, 108.0, 275.0]","[48.0, 273.0, 696.0]"
dispensing_tube_rack,0.31099775433540344,"[134.0, 30.0, 367.0, 479.0]","[-51.0, 9.0, 419.0]","[-141.0, -156.0, 448.0]","[354.0, -1747.0, 5020.0]","[-87.0, 108.0, 276.0]","[49.0, 272.0, 693.0]"
10ML_centrifuge_tube,0.27593591809272766,"[267.0, 238.0, 367.0, 266.0]","[-5.0, 7.0, 406.0]","[-40.0, -2.0, 425.0]","[167.0, -12.0, 2365.0]","[-29.0, 13.0, 307.0]","[124.0, 72.0, 1755.0]"
dispensing_tube_rack,0.314700722694397,"[130.0, 32.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-144.0, -155.0, 449.0]","[385.0, -1885.0, 5468.0]","[-89.0, 109.0, 277.0]","[49.0, 272.0, 695.0]"
10ML_centrifuge_tube,0.2634030282497406,"[267.0, 238.0, 367.0, 264.0]","[-5.0, 7.0, 408.0]","[-40.0, -2.0, 424.0]","[152.0, -11.0, 2164.0]","[-29.0, 12.0, 311.0]","[124.0, 66.0, 1760.0]"
dispensing_tube_rack,0.3691192865371704,"[132.0, 31.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-141.0, -154.0, 445.0]","[429.0, -2060.0, 5946.0]","[-87.0, 108.0, 276.0]","[50.0, 273.0, 697.0]"
dispensing_tube_rack,0.3391890525817871,"[126.0, 31.0, 367.0, 478.0]","[-0.0, 0.0, 0.0]","[-144.0, -153.0, 442.0]","[342.0, -1684.0, 4860.0]","[-91.0, 109.0, 279.0]","[49.0, 271.0, 694.0]"
dispensing_tube_rack,0.3664020001888275,"[130.0, 30.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-143.0, -155.0, 445.0]","[385.0, -1903.0, 5468.0]","[-89.0, 109.0, 277.0]","[49.0, 273.0, 697.0]"
dispensing_tube_rack,0.3534608781337738,"[121.0, 31.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-147.0, -152.0, 440.0]","[385.0, -1894.0, 5468.0]","[-94.0, 110.0, 280.0]","[49.0, 271.0, 692.0]"
blood_tube,0.2512648105621338,"[405.0, 146.0, 441.0, 198.0]","[347.0, -243.0, 2134.0]","[494.0, -582.0, 3712.0]","[886.0, -722.0, 4605.0]","[286.0, -153.0, 2149.0]","[405.0, -150.0, 2104.0]"
dispensing_tube_rack,0.3383826017379761,"[120.0, 31.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-147.0, -151.0, 437.0]","[377.0, -1813.0, 5234.0]","[-95.0, 110.0, 281.0]","[50.0, 273.0, 696.0]"
dispensing_tube_rack,0.3667947053909302,"[127.0, 31.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-144.0, -153.0, 442.0]","[365.0, -1798.0, 5190.0]","[-90.0, 109.0, 278.0]","[49.0, 272.0, 693.0]"
