Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
dispensing_tube_rack,0.30356472730636597,"[135.0, 31.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-143.0, -159.0, 459.0]","[391.0, -1878.0, 5420.0]","[-86.0, 108.0, 275.0]","[50.0, 273.0, 696.0]"
blood_tube,0.45095154643058777,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[543.0, -640.0, 4083.0]","[1034.0, -850.0, 5420.0]","[284.0, -152.0, 2134.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.29579368233680725,"[257.0, 237.0, 368.0, 274.0]","[-8.0, 9.0, 406.0]","[-48.0, -3.0, 434.0]",,"[-33.0, 16.0, 297.0]","[125.0, 94.0, 1730.0]"
dispensing_tube_rack,0.2786843776702881,"[135.0, 31.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-143.0, -159.0, 459.0]","[350.0, -1684.0, 4860.0]","[-86.0, 108.0, 275.0]","[50.0, 272.0, 695.0]"
blood_tube,0.4535972476005554,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[482.0, -568.0, 3624.0]","[927.0, -762.0, 4860.0]","[285.0, -152.0, 2141.0]","[400.0, -149.0, 2097.0]"
tube_rack_storage_cabinet,0.2813296318054199,"[452.0, 358.0, 639.0, 480.0]","[0.0, 0.0, 0.0]","[445.0, 407.0, 2112.0]","[1031.0, 383.0, 1988.0]",,"[120.0, 91.0, 231.0]"
blood_tube,0.340006947517395,"[405.0, 146.0, 440.0, 199.0]","[344.0, -243.0, 2134.0]","[471.0, -555.0, 3540.0]","[973.0, -800.0, 5103.0]","[285.0, -149.0, 2141.0]","[401.0, -146.0, 2104.0]"
tube_rack_storage_cabinet,0.271292120218277,"[452.0, 373.0, 640.0, 479.0]","[0.0, 0.0, 0.0]","[443.0, 457.0, 2104.0]","[1099.0, 461.0, 2119.0]",,"[120.0, 91.0, 231.0]"
dispensing_tube_rack,0.25879621505737305,"[133.0, 30.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-143.0, -158.0, 455.0]","[340.0, -1640.0, 4711.0]","[-87.0, 108.0, 276.0]","[50.0, 272.0, 695.0]"
blood_tube,0.42698320746421814,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[491.0, -579.0, 3689.0]","[1016.0, -835.0, 5325.0]","[285.0, -152.0, 2141.0]","[401.0, -150.0, 2104.0]"
dispensing_tube_rack,0.285453736782074,"[132.0, 31.0, 367.0, 478.0]","[-0.0, 0.0, 0.0]","[-145.0, -159.0, 458.0]","[389.0, -1911.0, 5517.0]","[-88.0, 108.0, 277.0]","[49.0, 271.0, 695.0]"
blood_tube,0.4703283905982971,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[476.0, -562.0, 3581.0]","[872.0, -717.0, 4570.0]","[284.0, -152.0, 2134.0]","[403.0, -150.0, 2112.0]"
tube_rack_storage_cabinet,0.2600821256637573,"[451.0, 369.0, 640.0, 480.0]","[0.0, 0.0, 0.0]","[432.0, 436.0, 2069.0]","[1052.0, 427.0, 2028.0]",,"[120.0, 91.0, 231.0]"
blood_tube,0.39695340394973755,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[479.0, -565.0, 3602.0]","[950.0, -781.0, 4979.0]","[286.0, -153.0, 2149.0]","[403.0, -150.0, 2112.0]"
dispensing_tube_rack,0.2545951008796692,"[134.0, 34.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-145.0, -158.0, 463.0]","[398.0, -1884.0, 5517.0]","[-87.0, 108.0, 276.0]","[50.0, 272.0, 694.0]"
blood_tube,0.37125861644744873,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[482.0, -568.0, 3624.0]","[878.0, -722.0, 4605.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.2536347210407257,"[253.0, 237.0, 368.0, 275.0]","[-10.0, 10.0, 406.0]","[-51.0, -3.0, 437.0]",,"[-35.0, 17.0, 297.0]","[125.0, 97.0, 1730.0]"
tube_rack_storage_cabinet,0.25287380814552307,"[450.0, 355.0, 639.0, 480.0]","[0.0, 0.0, 0.0]","[430.0, 390.0, 2076.0]","[1103.0, 399.0, 2126.0]",,"[120.0, 91.0, 232.0]"
blood_tube,0.387892484664917,"[405.0, 146.0, 440.0, 198.0]","[345.0, -244.0, 2141.0]","[482.0, -568.0, 3624.0]","[872.0, -717.0, 4570.0]","[285.0, -152.0, 2141.0]","[403.0, -150.0, 2112.0]"
10ML_centrifuge_tube,0.29274582862854004,"[259.0, 237.0, 368.0, 273.0]","[-8.0, 9.0, 406.0]","[-47.0, -3.0, 433.0]","[168.0, -16.0, 2337.0]","[-32.0, 16.0, 296.0]","[125.0, 91.0, 1740.0]"
blood_tube,0.44318971037864685,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[450.0, -531.0, 3383.0]","[892.0, -733.0, 4675.0]","[284.0, -152.0, 2134.0]","[403.0, -150.0, 2112.0]"
tube_rack_storage_cabinet,0.2809070646762848,"[459.0, 360.0, 640.0, 480.0]","[0.0, 0.0, 0.0]","[464.0, 409.0, 2090.0]","[1063.0, 401.0, 2048.0]",,"[120.0, 91.0, 231.0]"
blood_tube,0.4057839810848236,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[474.0, -559.0, 3561.0]","[865.0, -711.0, 4536.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
blood_tube,0.43984463810920715,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[468.0, -552.0, 3520.0]","[1006.9999999999999, -828.0, 5279.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.36563318967819214,"[252.0, 237.0, 368.0, 274.0]","[-10.0, 9.0, 405.0]","[-52.0, -3.0, 436.0]","[165.0, -16.0, 2294.0]","[-36.0, 16.0, 299.0]","[124.0, 93.0, 1725.0]"
dispensing_tube_rack,0.25847575068473816,"[134.0, 33.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-147.0, -161.0, 468.0]","[374.0, -1781.0, 5190.0]","[-87.0, 108.0, 276.0]","[50.0, 273.0, 697.0]"
blood_tube,0.3970631957054138,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[491.0, -579.0, 3689.0]","[1092.0, -898.0, 5723.0]","[285.0, -152.0, 2141.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.3136380612850189,"[254.0, 237.0, 368.0, 274.0]","[-9.0, 9.0, 406.0]","[-50.0, -3.0, 435.0]",,"[-35.0, 16.0, 298.0]","[124.0, 93.0, 1725.0]"
blood_tube,0.3818264603614807,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[450.0, -531.0, 3383.0]","[965.0, -794.0, 5061.0]","[285.0, -152.0, 2141.0]","[399.0, -149.0, 2090.0]"
10ML_centrifuge_tube,0.2917352020740509,"[255.0, 237.0, 368.0, 274.0]","[-9.0, 9.0, 406.0]","[-50.0, -3.0, 434.0]","[165.0, -16.0, 2285.0]","[-34.0, 16.0, 299.0]","[125.0, 94.0, 1735.0]"
blood_tube,0.3805693984031677,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[491.0, -579.0, 3689.0]","[1052.0, -865.0, 5517.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
tube_rack_storage_cabinet,0.26807069778442383,"[452.0, 352.0, 639.0, 480.0]","[0.0, 0.0, 0.0]","[440.0, 382.0, 2090.0]","[1059.0, 373.0, 2041.0]",,"[120.0, 91.0, 231.0]"
blood_tube,0.4634961783885956,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[494.0, -582.0, 3712.0]","[950.0, -781.0, 4979.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
tube_rack_storage_cabinet,0.27092012763023376,"[452.0, 355.0, 639.0, 480.0]","[0.0, 0.0, 0.0]","[440.0, 392.0, 2090.0]","[1035.0, 374.0, 1995.0]",,"[119.0, 90.0, 230.0]"
10ML_centrifuge_tube,0.2611396908760071,"[237.0, 237.0, 368.0, 274.0]","[-15.0, 9.0, 403.0]","[-64.0, -3.0, 442.0]",,"[-45.0, 17.0, 312.0]","[126.0, 94.0, 1745.0]"
10ML_centrifuge_tube,0.3947109878063202,"[248.0, 237.0, 367.0, 273.0]","[-12.0, 9.0, 405.0]","[-55.0, -3.0, 437.0]","[175.0, -17.0, 2479.0]","[-38.0, 16.0, 303.0]","[122.0, 91.0, 1730.0]"
blood_tube,0.37985724210739136,"[405.0, 146.0, 440.0, 198.0]","[341.0, -242.0, 2119.0]","[476.0, -562.0, 3581.0]","[834.0, -686.0, 4374.0]","[286.0, -153.0, 2149.0]","[403.0, -150.0, 2112.0]"
dispensing_tube_rack,0.28352704644203186,"[133.0, 32.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-148.0, -161.0, 468.0]","[359.0, -1717.0, 4979.0]","[-87.0, 108.0, 276.0]","[50.0, 271.0, 692.0]"
blood_tube,0.3799235224723816,"[405.0, 146.0, 440.0, 198.0]","[349.0, -247.0, 2164.0]","[526.0, -620.0, 3951.0]","[990.0, -814.0, 5190.0]","[286.0, -153.0, 2149.0]","[403.0, -150.0, 2112.0]"
blood_tube,0.40334492921829224,"[405.0, 146.0, 440.0, 199.0]","[346.0, -245.0, 2149.0]","[479.0, -565.0, 3602.0]","[899.0, -739.0, 4711.0]","[288.0, -150.0, 2164.0]","[401.0, -146.0, 2104.0]"
dispensing_tube_rack,0.2768367528915405,"[133.0, 31.0, 368.0, 478.0]","[-0.0, 0.0, 0.0]","[-149.0, -164.0, 473.0]","[374.0, -1798.0, 5190.0]","[-87.0, 108.0, 276.0]","[50.0, 272.0, 696.0]"
blood_tube,0.41674473881721497,"[405.0, 146.0, 441.0, 198.0]","[346.0, -242.0, 2126.0]","[500.0, -589.0, 3757.0]","[950.0, -775.0, 4939.0]","[286.0, -153.0, 2149.0]","[405.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.260233998298645,"[234.0, 236.0, 368.0, 274.0]","[-15.0, 9.0, 402.0]","[-66.0, -4.0, 443.0]","[177.0, -21.0, 2459.0]","[-46.0, 17.0, 310.0]","[125.0, 94.0, 1735.0]"
blood_tube,0.35556790232658386,"[405.0, 146.0, 440.0, 199.0]","[342.0, -242.0, 2126.0]","[497.0, -586.0, 3734.0]","[950.0, -781.0, 4979.0]","[286.0, -149.0, 2149.0]","[401.0, -146.0, 2104.0]"
10ML_centrifuge_tube,0.25496819615364075,"[244.0, 236.0, 367.0, 274.0]","[-13.0, 9.0, 404.0]","[-58.0, -4.0, 439.0]","[160.0, -19.0, 2277.0]","[-40.0, 17.0, 306.0]","[123.0, 94.0, 1740.0]"
blood_tube,0.4558819532394409,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[463.0, -546.0, 3480.0]","[920.0, -756.0, 4822.0]","[286.0, -153.0, 2149.0]","[403.0, -150.0, 2112.0]"
10ML_centrifuge_tube,0.4030146896839142,"[246.0, 236.0, 367.0, 274.0]","[-12.0, 9.0, 405.0]","[-57.0, -4.0, 439.0]","[170.0, -21.0, 2421.0]","[-39.0, 17.0, 305.0]","[122.0, 94.0, 1730.0]"
blood_tube,0.4285808503627777,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[466.0, -549.0, 3499.0]","[913.0, -750.0, 4784.0]","[283.0, -151.0, 2126.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.33116069436073303,"[247.0, 236.0, 367.0, 274.0]","[-12.0, 9.0, 405.0]","[-56.0, -4.0, 440.0]","[178.0, -21.0, 2531.0]","[-39.0, 16.0, 304.0]","[123.0, 94.0, 1740.0]"
blood_tube,0.34854593873023987,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[497.0, -586.0, 3734.0]","[906.0, -745.0, 4747.0]","[288.0, -154.0, 2164.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.3432478606700897,"[253.0, 236.0, 367.0, 273.0]","[-10.0, 9.0, 405.0]","[-51.0, -4.0, 436.0]","[167.0, -20.0, 2374.0]","[-35.0, 16.0, 299.0]","[123.0, 92.0, 1750.0]"
dispensing_tube_rack,0.2565684914588928,"[132.0, 31.0, 367.0, 478.0]","[-0.0, 0.0, 0.0]","[-152.0, -167.0, 481.0]","[382.0, -1878.0, 5420.0]","[-87.0, 108.0, 276.0]","[49.0, 272.0, 697.0]"
blood_tube,0.41306254267692566,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[491.0, -579.0, 3689.0]","[942.0, -775.0, 4939.0]","[286.0, -153.0, 2149.0]","[403.0, -150.0, 2112.0]"
10ML_centrifuge_tube,0.26668214797973633,"[235.0, 236.0, 366.0, 273.0]","[-16.0, 9.0, 402.0]","[-65.0, -4.0, 443.0]","[178.0, -22.0, 2584.0]","[-46.0, 16.0, 312.0]","[119.0, 91.0, 1735.0]"
10ML_centrifuge_tube,0.39284828305244446,"[227.0, 235.0, 366.0, 273.0]","[-19.0, 9.0, 403.0]","[-71.0, -5.0, 444.0]","[179.0, -26.0, 2606.0]","[-49.0, 16.0, 306.0]","[119.0, 91.0, 1730.0]"
blood_tube,0.3554910123348236,"[405.0, 146.0, 440.0, 198.0]","[341.0, -242.0, 2119.0]","[503.0, -593.0, 3780.0]","[920.0, -756.0, 4822.0]","[285.0, -152.0, 2141.0]","[401.0, -150.0, 2104.0]"
dispensing_tube_rack,0.3251039981842041,"[133.0, 31.0, 366.0, 478.0]","[-0.0, 0.0, 0.0]","[-153.0, -168.0, 485.0]","[324.0, -1632.0, 4711.0]","[-87.0, 108.0, 276.0]","[48.0, 271.0, 693.0]"
blood_tube,0.42811501026153564,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[474.0, -559.0, 3561.0]","[853.0, -701.0, 4470.0]","[286.0, -153.0, 2149.0]","[404.0, -151.0, 2119.0]"
10ML_centrifuge_tube,0.3962888717651367,"[247.0, 235.0, 366.0, 273.0]","[-12.0, 9.0, 405.0]","[-56.0, -4.0, 437.0]","[172.0, -25.0, 2500.0]","[-38.0, 16.0, 300.0]","[120.0, 91.0, 1740.0]"
dispensing_tube_rack,0.25632283091545105,"[121.0, 28.0, 364.0, 480.0]","[-0.0, 0.0, 0.0]","[-157.0, -164.0, 468.0]","[331.0, -1778.0, 5061.0]","[-94.0, 110.0, 281.0]","[45.0, 272.0, 694.0]"
blood_tube,0.37593865394592285,"[405.0, 146.0, 440.0, 198.0]","[345.0, -244.0, 2141.0]","[460.0, -543.0, 3460.0]","[927.0, -762.0, 4860.0]","[288.0, -154.0, 2164.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.3285193145275116,"[242.0, 235.0, 366.0, 272.0]","[-14.0, 8.0, 406.0]","[-60.0, -4.0, 440.0]","[174.0, -26.0, 2531.0]",,"[120.0, 89.0, 1745.0]"
dispensing_tube_rack,0.2623002231121063,"[133.0, 31.0, 366.0, 479.0]","[-0.0, 0.0, 0.0]","[-153.0, -168.0, 484.0]","[324.0, -1632.0, 4711.0]","[-87.0, 108.0, 276.0]","[48.0, 272.0, 694.0]"
blood_tube,0.4136744439601898,"[405.0, 146.0, 440.0, 198.0]","[345.0, -244.0, 2141.0]","[471.0, -555.0, 3540.0]","[935.0, -768.0, 4899.0]","[286.0, -153.0, 2149.0]","[404.0, -151.0, 2119.0]"
10ML_centrifuge_tube,0.2599901854991913,"[241.0, 234.0, 367.0, 272.0]","[-14.0, 8.0, 405.0]","[-60.0, -5.0, 438.0]","[180.0, -30.0, 2552.0]",,"[123.0, 89.0, 1745.0]"
blood_tube,0.35330966114997864,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[453.0, -534.0, 3402.0]","[892.0, -733.0, 4675.0]","[285.0, -152.0, 2141.0]","[403.0, -150.0, 2112.0]"
10ML_centrifuge_tube,0.34868088364601135,"[228.0, 235.0, 367.0, 271.0]","[-18.0, 8.0, 402.0]","[-70.0, -4.0, 442.0]","[173.0, -25.0, 2459.0]","[-49.0, 15.0, 310.0]","[123.0, 86.0, 1740.0]"
blood_tube,0.41961729526519775,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[468.0, -552.0, 3520.0]","[950.0, -781.0, 4979.0]","[284.0, -152.0, 2134.0]","[403.0, -150.0, 2112.0]"
10ML_centrifuge_tube,0.26407721638679504,"[232.0, 235.0, 367.0, 273.0]","[-17.0, 9.0, 403.0]","[-68.0, -5.0, 445.0]","[173.0, -25.0, 2450.0]","[-47.0, 16.0, 309.0]","[123.0, 91.0, 1740.0]"
blood_tube,0.4124894440174103,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[474.0, -559.0, 3561.0]","[885.0, -728.0, 4639.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
blood_tube,0.43693992495536804,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[471.0, -555.0, 3540.0]","[950.0, -781.0, 4979.0]","[286.0, -153.0, 2149.0]","[403.0, -150.0, 2112.0]"
10ML_centrifuge_tube,0.3842610716819763,"[227.0, 235.0, 367.0, 273.0]","[-18.0, 9.0, 402.0]","[-72.0, -5.0, 446.0]","[173.0, -25.0, 2450.0]","[-49.0, 16.0, 307.0]","[123.0, 92.0, 1745.0]"
dispensing_tube_rack,0.2520540654659271,"[123.0, 29.0, 365.0, 479.0]","[-0.0, 0.0, 0.0]","[-155.0, -163.0, 467.0]","[340.0, -1770.0, 5061.0]","[-93.0, 110.0, 280.0]","[47.0, 273.0, 696.0]"
blood_tube,0.3961019515991211,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[485.0, -572.0, 3645.0]","[834.0, -686.0, 4374.0]","[288.0, -154.0, 2164.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.26220619678497314,"[241.0, 235.0, 367.0, 274.0]","[-13.0, 9.0, 403.0]","[-61.0, -4.0, 442.0]","[180.0, -26.0, 2562.0]","[-42.0, 17.0, 307.0]","[121.0, 93.0, 1725.0]"
tube_rack_storage_cabinet,0.2568408250808716,"[461.0, 356.0, 640.0, 480.0]","[0.0, 0.0, 0.0]","[473.0, 397.0, 2097.0]","[1066.0, 389.0, 2055.0]",,"[120.0, 91.0, 231.0]"
blood_tube,0.4038304388523102,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[509.0, -600.0, 3828.0]","[878.0, -722.0, 4605.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
blood_tube,0.3534909784793854,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[476.0, -562.0, 3581.0]","[965.0, -794.0, 5061.0]","[286.0, -153.0, 2149.0]","[400.0, -149.0, 2097.0]"
10ML_centrifuge_tube,0.29205039143562317,"[230.0, 236.0, 367.0, 273.0]","[-17.0, 9.0, 403.0]","[-69.0, -4.0, 442.0]","[175.0, -21.0, 2489.0]","[-48.0, 16.0, 308.0]","[122.0, 91.0, 1735.0]"
10ML_centrifuge_tube,0.541803777217865,"[233.0, 235.0, 367.0, 273.0]","[-16.0, 9.0, 402.0]","[-67.0, -4.0, 442.0]","[175.0, -25.0, 2479.0]","[-47.0, 16.0, 310.0]","[123.0, 91.0, 1740.0]"
blood_tube,0.34754055738449097,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[488.0, -575.0, 3667.0]","[990.0, -814.0, 5190.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
blood_tube,0.39265450835227966,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[494.0, -582.0, 3712.0]","[853.0, -701.0, 4470.0]","[288.0, -154.0, 2164.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.3170674443244934,"[234.0, 236.0, 367.0, 273.0]","[-16.0, 9.0, 402.0]","[-66.0, -4.0, 442.0]","[175.0, -21.0, 2489.0]","[-46.0, 16.0, 310.0]","[123.0, 91.0, 1740.0]"
blood_tube,0.4287766218185425,"[405.0, 146.0, 440.0, 198.0]","[346.0, -245.0, 2149.0]","[497.0, -586.0, 3734.0]","[1006.9999999999999, -828.0, 5279.0]","[288.0, -154.0, 2164.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.42533132433891296,"[246.0, 235.0, 367.0, 274.0]","[-12.0, 9.0, 404.0]","[-57.0, -4.0, 439.0]","[178.0, -26.0, 2531.0]","[-39.0, 16.0, 299.0]","[122.0, 94.0, 1730.0]"
dispensing_tube_rack,0.26538729667663574,"[106.0, 28.0, 365.0, 479.0]","[-66.0, 9.0, 447.0]","[-164.0, -160.0, 456.0]","[332.0, -1735.0, 4939.0]","[-104.0, 113.0, 289.0]","[46.0, 271.0, 692.0]"
blood_tube,0.43235430121421814,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[529.0, -624.0, 3977.0]","[942.0, -775.0, 4939.0]","[285.0, -152.0, 2141.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.3513537645339966,"[238.0, 235.0, 367.0, 274.0]","[-15.0, 9.0, 403.0]","[-63.0, -4.0, 440.0]","[172.0, -25.0, 2440.0]","[-44.0, 17.0, 310.0]","[122.0, 94.0, 1735.0]"
tube_rack_storage_cabinet,0.2542174756526947,"[453.0, 371.0, 640.0, 480.0]","[0.0, 0.0, 0.0]","[448.0, 452.0, 2112.0]","[1045.0, 431.0, 2013.9999999999998]",,"[120.0, 91.0, 232.0]"
blood_tube,0.42226311564445496,"[405.0, 146.0, 440.0, 198.0]","[344.0, -243.0, 2134.0]","[482.0, -568.0, 3624.0]","[913.0, -750.0, 4784.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.30875924229621887,"[243.0, 236.0, 368.0, 274.0]","[-13.0, 9.0, 404.0]","[-59.0, -4.0, 442.0]",,"[-41.0, 17.0, 307.0]","[125.0, 94.0, 1740.0]"
blood_tube,0.37038904428482056,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[482.0, -568.0, 3624.0]","[878.0, -722.0, 4605.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.321561723947525,"[247.0, 236.0, 368.0, 274.0]","[-12.0, 9.0, 405.0]","[-56.0, -4.0, 438.0]","[174.0, -20.0, 2411.0]","[-39.0, 16.0, 303.0]","[124.0, 93.0, 1725.0]"
dispensing_tube_rack,0.26317456364631653,"[132.0, 32.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-150.0, -163.0, 474.0]","[391.0, -1869.0, 5420.0]","[-87.0, 108.0, 276.0]","[50.0, 273.0, 697.0]"
blood_tube,0.4337945580482483,"[405.0, 146.0, 440.0, 198.0]","[347.0, -246.0, 2156.0]","[491.0, -579.0, 3689.0]","[920.0, -756.0, 4822.0]","[286.0, -153.0, 2149.0]","[400.0, -149.0, 2097.0]"
10ML_centrifuge_tube,0.338449627161026,"[244.0, 236.0, 368.0, 274.0]","[-12.0, 9.0, 405.0]","[-58.0, -4.0, 441.0]",,"[-40.0, 16.0, 304.0]","[126.0, 94.0, 1745.0]"
dispensing_tube_rack,0.3067420721054077,"[133.0, 34.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-151.0, -164.0, 480.0]","[375.0, -1818.0, 5325.0]","[-87.0, 108.0, 276.0]","[49.0, 272.0, 694.0]"
blood_tube,0.3514719009399414,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[503.0, -593.0, 3780.0]","[973.0, -800.0, 5103.0]","[285.0, -152.0, 2141.0]","[401.0, -150.0, 2104.0]"
dispensing_tube_rack,0.2550840973854065,"[133.0, 33.0, 368.0, 479.0]","[-0.0, 0.0, 0.0]","[-151.0, -164.0, 478.0]","[377.0, -1796.0, 5234.0]","[-87.0, 108.0, 276.0]","[50.0, 272.0, 693.0]"
blood_tube,0.4022095501422882,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[497.0, -586.0, 3734.0]","[885.0, -728.0, 4639.0]","[285.0, -152.0, 2141.0]","[403.0, -150.0, 2112.0]"
dispensing_tube_rack,0.2736108899116516,"[134.0, 33.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-150.0, -164.0, 477.0]","[372.0, -1811.0, 5279.0]","[-86.0, 108.0, 275.0]","[49.0, 273.0, 696.0]"
blood_tube,0.3693697154521942,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[497.0, -586.0, 3734.0]","[920.0, -756.0, 4822.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
dispensing_tube_rack,0.3027593493461609,"[134.0, 33.0, 367.0, 479.0]","[-0.0, 0.0, 0.0]","[-150.0, -164.0, 477.0]","[337.0, -1641.0, 4784.0]","[-87.0, 108.0, 276.0]","[49.0, 272.0, 694.0]"
10ML_centrifuge_tube,0.2614673674106598,"[241.0, 236.0, 368.0, 274.0]","[-13.0, 9.0, 403.0]","[-61.0, -4.0, 443.0]",,"[-42.0, 17.0, 307.0]","[125.0, 94.0, 1735.0]"
blood_tube,0.4132946729660034,"[405.0, 146.0, 440.0, 198.0]","[346.0, -245.0, 2149.0]","[458.0, -540.0, 3440.0]","[906.0, -745.0, 4747.0]","[285.0, -152.0, 2141.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.2641317844390869,"[244.0, 236.0, 368.0, 274.0]","[-12.0, 9.0, 404.0]","[-58.0, -4.0, 442.0]",,"[-40.0, 16.0, 304.0]","[125.0, 94.0, 1740.0]"
blood_tube,0.4348416328430176,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[471.0, -555.0, 3540.0]","[906.0, -745.0, 4747.0]","[286.0, -153.0, 2149.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.32758593559265137,"[232.0, 236.0, 368.0, 273.0]","[-16.0, 9.0, 403.0]","[-68.0, -4.0, 444.0]","[177.0, -21.0, 2450.0]","[-47.0, 16.0, 310.0]","[125.0, 91.0, 1740.0]"
dispensing_tube_rack,0.25623050332069397,"[134.0, 33.0, 367.0, 480.0]","[-0.0, 0.0, 0.0]","[-150.0, -164.0, 478.0]","[337.0, -1641.0, 4784.0]","[-87.0, 108.0, 276.0]","[49.0, 272.0, 694.0]"
blood_tube,0.4307922124862671,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[458.0, -540.0, 3440.0]","[885.0, -728.0, 4639.0]","[289.0, -154.0, 2172.0]","[401.0, -150.0, 2104.0]"
10ML_centrifuge_tube,0.36141934990882874,"[241.0, 236.0, 367.0, 274.0]","[-13.0, 9.0, 403.0]","[-61.0, -4.0, 441.0]","[162.0, -20.0, 2302.0]","[-42.0, 17.0, 308.0]","[122.0, 94.0, 1735.0]"
blood_tube,0.4550006091594696,"[405.0, 146.0, 440.0, 198.0]","[342.0, -242.0, 2126.0]","[500.0, -589.0, 3757.0]","[973.0, -800.0, 5103.0]","[287.0, -153.0, 2156.0]","[401.0, -150.0, 2104.0]"
